"filename", "language", "JavaScript", "PHP", "CSS", "JSON", "XML", "Markdown", "Less", "SCSS", "Ruby", "comment", "blank", "total"
"d:\programming\uniProject\uniProject\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 5, 20
"d:\programming\uniProject\uniProject\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 12, 6, 39
"d:\programming\uniProject\uniProject\app\Providers\RouteServiceProvider.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 10, 7, 41
"d:\programming\uniProject\uniProject\app\View\Components\AppLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\programming\uniProject\uniProject\app\View\Components\GuestLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\programming\uniProject\uniProject\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"d:\programming\uniProject\uniProject\composer.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\programming\uniProject\uniProject\composer.lock", "JSON", 0, 0, 0, 8287, 0, 0, 0, 0, 0, 0, 1, 8288
"d:\programming\uniProject\uniProject\config\app.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 131, 31, 189
"d:\programming\uniProject\uniProject\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 74, 14, 116
"d:\programming\uniProject\uniProject\config\broadcasting.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 23, 13, 72
"d:\programming\uniProject\uniProject\config\cache.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 0, 34, 19, 112
"d:\programming\uniProject\uniProject\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 29, 3, 35
"d:\programming\uniProject\uniProject\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 47, 22, 152
"d:\programming\uniProject\uniProject\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 32, 13, 77
"d:\programming\uniProject\uniProject\config\hashing.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 32, 9, 55
"d:\programming\uniProject\uniProject\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 0, 34, 19, 132
"d:\programming\uniProject\uniProject\config\mail.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 54, 19, 127
"d:\programming\uniProject\uniProject\config\queue.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 0, 42, 17, 110
"d:\programming\uniProject\uniProject\config\sanctum.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 53, 14, 84
"d:\programming\uniProject\uniProject\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"d:\programming\uniProject\uniProject\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"d:\programming\uniProject\uniProject\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"d:\programming\uniProject\uniProject\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 11, 6, 42
"d:\programming\uniProject\uniProject\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"d:\programming\uniProject\uniProject\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\programming\uniProject\uniProject\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"d:\programming\uniProject\uniProject\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 4, 34
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_190415_adding_roles.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_190549_create_products_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 5, 33
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_190714_create_carts_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"d:\programming\uniProject\uniProject\database\migrations\2023_12_04_191938_create_contacts_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"d:\programming\uniProject\uniProject\database\seeders\DatabaseSeeder.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\programming\uniProject\uniProject\database\seeders\MainSeeder.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\programming\uniProject\uniProject\database\seeders\ProductSeeder.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\programming\uniProject\uniProject\database\seeders\UserSeeder.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\programming\uniProject\uniProject\package-lock.json", "JSON", 0, 0, 0, 1798, 0, 0, 0, 0, 0, 0, 1, 1799
"d:\programming\uniProject\uniProject\package.json", "JSON", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\programming\uniProject\uniProject\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 1, 32
"d:\programming\uniProject\uniProject\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
